교과,지역,원본값,연도,배치,지원,커트라인
영양,평택,,2022,0,0,0.0
교육학,평택,,2022,0,0,0.0
도덕윤리,군포,2/6(6.6),2022,2,6,6.6
국어,군포,19/34(5.0),2022,19,34,5.0
수학,군포,19/45(6.6),2022,19,45,6.6
일반사회,군포,3/7(5.0),2022,3,7,5.0
역사,군포,11/14(5.0),2022,11,14,5.0
지리,군포,6/10(6.6),2022,6,10,6.6
통합사회,군포,1/4(7.2),2022,1,4,7.2
물리,군포,4/4(5.0),2022,4,4,5.0
화학,군포,3/6(4.9),2022,3,6,4.9
생물,군포,5/5(4.0),2022,5,5,4.0
지구과학,군포,5/5(5.0),2022,5,5,5.0
통합과학,군포,5/7(5.0),2022,5,7,5.0
체육,군포,17/19(3.7),2022,17,19,3.7
음악,군포,8/8(2.0),2022,8,8,2.0
미술,군포,6/7(4.0),2022,6,7,4.0
한문,군포,3/3(10.9),2022,3,3,10.9
영어,군포,22/48(6.6),2022,22,48,6.6
일본어,군포,,2022,0,0,0.0
중국어,군포,3/7(4.9),2022,3,7,4.9
독일어,군포,,2022,0,0,0.0
프랑스어,군포,,2022,0,0,0.0
러시아어,군포,,2022,0,0,0.0
스페인어,군포,,2022,0,0,0.0
아랍어,군포,,2022,0,0,0.0
기술가정,군포,,2022,0,0,0.0
기술,군포,7/14(5.0),2022,7,14,5.0
가정,군포,3/3(7.6),2022,3,3,7.6
농업,군포,,2022,0,0,0.0
임업,군포,,2022,0,0,0.0
원예,군포,,2022,0,0,0.0
조경,군포,,2022,0,0,0.0
식물자원조경,군포,,2022,0,0,0.0
축산,군포,,2022,0,0,0.0
잠업,군포,,2022,0,0,0.0
동물자원,군포,,2022,0,0,0.0
식품가공,군포,,2022,0,0,0.0
농토목,군포,,2022,0,0,0.0
농업기계,군포,,2022,0,0,0.0
농기계,군포,,2022,0,0,0.0
농업토목,군포,,2022,0,0,0.0
농공,군포,,2022,0,0,0.0
공업,군포,,2022,0,0,0.0
건축,군포,,2022,0,0,0.0
토목,군포,,2022,0,0,0.0
건설,군포,,2022,0,0,0.0
전기,군포,,2022,0,0,0.0
전자,군포,,2022,0,0,0.0
통신,군포,,2022,0,0,0.0
전기전자통신,군포,1/1(4.0),2022,1,1,4.0
화공,군포,,2022,0,0,0.0
섬유,군포,,2022,0,0,0.0
화공섬유,군포,1/1(3.7),2022,1,1,3.7
금속,군포,,2022,0,0,0.0
기계,군포,,2022,0,0,0.0
재료,군포,,2022,0,0,0.0
자동차,군포,,2022,0,0,0.0
기계금속,군포,1/4,2022,1,4,0.0
환경,군포,,2022,0,0,0.0
상업정보,군포,,2022,0,0,0.0
공예,군포,,2022,0,0,0.0
디자인,군포,,2022,0,0,0.0
디자인공예,군포,,2022,0,0,0.0
정보컴퓨터,군포,1/5(5.0),2022,1,5,5.0
전자계산,군포,,2022,0,0,0.0
의상,군포,,2022,0,0,0.0
철학,군포,,2022,0,0,0.0
관광,군포,,2022,0,0,0.0
요업,군포,,2022,0,0,0.0
세라믹,군포,,2022,0,0,0.0
농산물유통,군포,,2022,0,0,0.0
미용,군포,2/2(3.0),2022,2,2,3.0
조리,군포,,2022,0,0,0.0
연극영화,군포,,2022,0,0,0.0
만화,군포,,2022,0,0,0.0
심리학,군포,,2022,0,0,0.0
진로진학상담,군포,8/11(5.0),2022,8,11,5.0
